te	!
jfyv	灰
,n	界
jfex	皆
jfyc	絵
fjdd	芥
fjds	蟹
pq	開
wr	階
jfyx	貝
fjda	凱
jfez	劾
m;	外
fjdb	咳
qy	害
fjdv	崖
jfwt	慨
qw	概
jfwr	涯
fjdc	碍
fjdx	蓋
vm	街
jfwe	該
fjdz	鎧
fjst	骸
fjsr	浬
fjse	馨
fjsw	蛙
jfww	垣
fjsq	柿
fjsg	蛎
fjsf	鈎
fjsd	劃
jfwq	嚇
/l	各
fjss	廓
0r	拡
fjsa	撹
wf	格
8b	核
jfwg	殻
jfwf	獲
gp	確
jfwd	穫
gr	覚
tu	角
fjsb	赫
3r	較
jfws	郭
jfyz	閣
jfwa	隔
j1	革
of	学
1;	岳
/h	楽
f;	額
fjsv	顎
3s	掛
fjsc	笠
fjsx	樫
fjsz	橿
fjat	梶
fjar	鰍
x0	潟
ab	割
jfwb	喝
fjae	恰
jfwv	括
dd	活
jfwc	渇
jfwx	滑
fjaw	葛
jfwz	褐
jfqt	轄
jfqr	且
fjaq	鰹
fjag	叶
fjaf	椛
fjad	樺
fjas	鞄
/b	株
fjaa	兜
fjab	竃
fjav	蒲
fjac	釜
fjax	鎌
fjaz	噛
fjbt	鴨
fjbr	栢
fjbe	茅
fjbw	萱
fjbq	粥
jfqe	刈
fjbg	苅
3z	瓦
jfqw	乾
fjbf	侃
jfqq	冠
3t	寒
wx	刊
jfqg	勘
jfqf	勧
i/	巻
jfqd	喚
jfqs	堪
fjbd	姦
ml	完
ft	官
jfqa	寛
m4	干
i3	幹
3g	患
cx	感
gz	慣
jfqb	憾
7t	換
3d	敢
fjbs	柑
fjba	桓
jfqv	棺
jfqc	款
8z	歓
jfqx	汗
l4	漢
fjbb	澗
fjbv	潅
pm	環
3f	甘
qm	監
5,	看
fjbc	竿
gh	管
1y	簡
jfqz	緩
jfgt	缶
fjbx	翰
jfgr	肝
jfge	艦
fjbz	莞
fl	観
fjvt	諌
jfgw	貫
1/	還
jfgq	鑑
uv	間
jfgg	閑
oj	関
jfgf	陥
fjvr	韓
dq	館
fjve	舘
ed	丸
vz	含
i2	岸
fjvw	巌
fjvq	玩
fjvg	癌
1k	眼
,y	岩
fjvf	翫
fjvd	贋
fjvs	雁
jfgd	頑
ve	顔
v7	願
so	企
fjva	伎
r8	危
u3	喜
vc	器
ak	基
a3	奇
fjvb	嬉
wm	寄
jfgs	岐
8d	希
jfga	幾
jfgb	忌
c9	揮
jfut	机
jfur	旗
s3	既
y;	期
jfgv	棋
jfgc	棄
.r	機
qn	帰
fjvv	毅
nb	気
6t	汽
fjvc	畿
jfgx	祈
5k	季
fjvx	稀
6x	紀
fjvz	徽
xx	規
yi	記
jfue	貴
eh	起
jfgz	軌
jfft	輝
jffr	飢
jffe	騎
q3	鬼
fjct	亀
jffw	偽
jffq	儀
fjcr	妓
jffg	宜
jfff	戯
fx	技
jffd	擬
jffs	欺
jffa	犠
7v	疑
fjce	祇
xd	義
fjcw	蟻
fjcq	誼
ox	議
fjcg	掬
d3	菊
fjcf	鞠
xc	吉
fjcd	吃
d8	喫
fjcs	桔
fjca	橘
jffb	詰
fjcb	砧
fjcv	杵
fjcc	黍
f3	却
xl	客
jffv	脚
jffc	虐
ao	逆
o3	丘
xs	久
fjcx	仇
zb	休
zs	及
jfuw	吸
ax	宮
jfuq	弓
ou	急
jfug	救
jffx	朽
dx	求
fjcz	汲
jfuf	泣
fjxt	灸
gt	球
e.	究
jffz	窮
fjxr	笈
bg	級
jfdt	糾
hq	給
0w	旧
f0	牛
6v	去
vw	居
.y	巨
jfdr	拒
jfde	拠
xn	挙
fjxe	渠
w3	虚
o,	許
jfdw	距
fjxw	鋸
p2	漁
fjxq	禦
g9	魚
fjxg	亨
g3	享
.a	京
e;	供
fjxf	侠
fjxd	僑
fjxs	兇
o/	競
mh	共
jfdq	凶
jn	協
fjxa	匡
fjxb	卿
jfdg	叫
fjxv	喬
u1	境
jfdf	峡
o;	強
fjxc	彊
fjxx	怯
ev	恐
jfdd	恭
jfds	挟
kj	教
pk	橋
tv	況
jfda	狂
e3	狭
jfdb	矯
jfud	胸
r3	脅
sr	興
fjxz	蕎
t6	郷
jfus	鏡
ym	響
fjzt	饗
t3	驚
jfdv	仰
jfdc	凝
fjzr	尭
jfdx	暁
ng	業
ac	局
se	曲
rc	極
rl	玉
fjze	桐
fjzw	粁
fjzq	僅
lo	勤
.4	均
fjzg	巾
fjzf	錦
jfdz	斤
fjzd	欣
fjzs	欽
jfst	琴
z6	禁
fjza	禽
8s	筋
;4	緊
fjzb	芹
jfsr	菌
fjzv	衿
jfse	襟
jfsw	謹
n;	近
ut	金
jfsq	吟
h/	銀
nr	九
fjzc	倶
v6	句
iw	区
fjzx	狗
fjzz	玖
fjt6	矩
u4	苦
fjt7	躯
jfsg	駆
fjt8	駈
fjt9	駒
r,	具
jfsf	愚
jfsd	虞
fjt0	喰
xg	空
jfss	偶
fjty	寓
pl	遇
jfsa	隅
fjtu	串
fjti	櫛
fjto	釧
fjtp	屑
jfsb	屈
jfsv	掘
fjth	窟
fjtj	沓
jfsc	靴
fjtk	轡
fjtl	窪
fjt;	熊
fjtn	隈
fjtm	粂
fjt,	栗
jfsx	繰
jfsz	桑
fjt.	鍬
jfat	勲
6f	君
jfar	薫
jfua	訓
t7	群
cf	軍
8x	郡
fjt/	卦
fjr6	袈
fjr7	祁
p;	係
jfae	傾
2;	刑
jfub	兄
4q	啓
fjr8	圭
fjr9	珪
f.	型
jfaw	契
sj	形
jfuv	径
o4	恵
x8	慶
fjr0	慧
jfaq	憩
4w	掲
4e	携
jfuc	敬
k3	景
fjry	桂
jfag	渓
fjru	畦
fjri	稽
i1	系
oc	経
jfaf	継
fjro	繋
fjrp	罫
jfad	茎
fjrh	荊
jfas	蛍
m,	計
fjrj	詣
d.	警
ry	軽
fjrk	頚
jfaa	鶏
gu	芸
u,	迎
jfab	鯨
4r	劇
fjrl	戟
qu	撃
n4	激
fjr;	隙
fjrn	桁
jfav	傑
zq	欠
l,	決
jfux	潔
jfuz	穴
da	結
m5	血
fjrm	訣
pf	月
az	件
jfac	倹
fjr,	倦
vi	健
4a	兼
zp	券
jfax	剣
fjr.	喧
jfaz	圏
jfbt	堅
4s	嫌
mt	建
3p	憲
jfbr	懸
fjr/	拳
fje6	捲
fy	検
ba	権
4f	牽
jfit	犬
5.	献
si	研
fje7	硯
z7	絹
bd	県
9g	肩
/e	見
jfbe	謙
4t	賢
jfbw	軒
jfbq	遣
fje8	鍵
cn	険
4d	顕
pu	験
fje9	鹸
gb	元
ih	原
4g	厳
jfbg	幻
jfbf	弦
to	減
c7	源
jfbd	玄
jk	現
fje0	絃
fjey	舷
gl	言
fjeu	諺
ai	限
fjei	乎
in	個
wt	古
6z	呼
p4	固
fjeo	姑
q4	孤
0h	己
v,	庫
jfbs	弧
n.	戸
qp	故
jfba	枯
q6	湖
fjep	狐
fjeh	糊
fjej	袴
fjek	股
fjel	胡
fje;	菰
fjen	虎
w4	誇
fjem	跨
fje,	鈷
jfbb	雇
jfbv	顧
jfbc	鼓
;v	五
0t	互
fje.	伍
/j	午
jfbx	呉
fje/	吾
jfbz	娯
yv	後
cr	御
jfvt	悟
fjw6	梧
fjw7	檎
fjw8	瑚
jfvr	碁
lp	語
xz	誤
p/	護
fjw9	醐
t9	乞
fjw0	鯉
;m	交
fjwy	佼
jfve	侯
3u	候
fjwu	倖
/;	光
jp	公
9z	功
.o	効
fjwi	勾
ce	厚
.m	口
av	向
r4	后
fjwo	喉
jfvw	坑
fjwp	垢
sk	好
jfvq	孔
jfir	孝
fjwh	宏
me	工
a4	巧
fjwj	巷
ti	幸
eg	広
fjwk	庚
h3	康
q0	弘
jfvg	恒
jfvf	慌
9x	抗
jfvd	拘
jfvs	控
6e	攻
fjwl	昂
fjw;	晃
2/	更
fjwn	杭
.k	校
fjwm	梗
xu	構
xa	江
jfva	洪
fjw,	浩
rk	港
jfvb	溝
3h	甲
jfie	皇
jfvv	硬
jfvc	稿
fjw.	糠
a7	紅
fjw/	紘
jfvx	絞
z0	綱
t4	耕
va	考
jfvz	肯
fjq6	肱
fjq7	腔
fjq8	膏
e/	航
;2	荒
hz	行
jfct	衡
dh	講
jfcr	貢
jfce	購
jfcw	郊
jfcq	酵
wp	鉱
fjq9	砿
jfiw	鋼
fjq0	閤
.3	降
jfcg	項
/2	香
og	高
fjqy	鴻
jfcf	剛
fjqu	劫
cv	号
mc	合
fjqi	壕
jfcd	拷
fjqo	濠
d7	豪
fjqp	轟
fjqh	麹
s4	克
3,	刻
wq	告
lr	国
jfiq	穀
jfcs	酷
fjqj	鵠
fc	黒
jfca	獄
fjqk	漉
jfcb	腰
fjql	甑
fjq;	忽
fjqn	惚
xe	骨
fjqm	狛
zf	込
fjq,	此
ck	頃
/n	今
f4	困
fjq.	坤
jfcv	墾
jfcc	婚
jfcx	恨
d4	懇
g4	昏
jfcz	昆
a/	根
fjq/	梱
j,	混
fjg6	痕
jfxt	紺
fjg7	艮
jfxr	魂
fjg8	些
yy	佐
fjg9	叉
jfxe	唆
fjg0	嵯
a,	左
bw	差
es	査
fjgy	沙
fjgu	瑳
t8	砂
jfxw	詐
jfxq	鎖
fjgi	裟
fjgo	坐
uk	座
fjgp	挫
jfxg	債
9a	催
nm	再
iu	最
fjgh	哉
fjgj	塞
vq	妻
jfxf	宰
jfxd	彩
rb	才
6d	採
jfxs	栽
i;	歳
zc	済
2m	災
fjgk	采
fjgl	犀
jfxa	砕
fjg;	砦
jfig	祭
jfxb	斎
qt	細
jfif	菜
em	裁
jfxv	載
wa	際
jfxc	剤
re	在
x/	材
5p	罪
zw	財
fjgn	冴
b;	坂
fjgm	阪
fjg,	堺
fjg.	榊
fjg/	肴
jfxx	咲
at	崎
fjf6	埼
fjf7	碕
fjf8	鷺
/w	作
jfxz	削
fjf9	咋
jfzt	搾
en	昨
fjf0	朔
fjfy	柵
fjfu	窄
eq	策
7y	索
jfzr	錯
6a	桜
fjfi	鮭
fjfo	笹
fjfp	匙
7u	冊
q8	刷
0d	察
fjfh	拶
jfze	撮
jfzw	擦
r9	札
zo	殺
fjfk	薩
k4	雑
fjfl	皐
fjf;	鯖
fjfn	捌
fjfm	錆
fjf,	鮫
7i	皿
fjf.	晒
,a	三
jfzq	傘
gd	参
ur	山
jfzg	惨
fjf/	撒
,5	散
jfzf	桟
fjd6	燦
fjd7	珊
pv	産
cd	算
fjd8	纂
jfid	蚕
fjd9	讃
7o	賛
6q	酸
fjd0	餐
fjdy	斬
jfzd	暫
we	残
gm	仕
fjdu	仔
jfzs	伺
vg	使
dr	刺
y,	司
om	史
jfza	嗣
/d	四
io	士
wc	始
jfis	姉
y5	姿
lv	子
fjdi	屍
/v	市
cl	師
q/	志
qg	思
qd	指
hn	支
fjdo	孜
fjdp	斯
vu	施
jfzb	旨
jfia	枝
f/	止
tw	死
wd	氏
fjdh	獅
jfzv	祉
nj	私
ei	糸
sq	紙
jfzc	紫
jfzx	肢
jfzz	脂
jfib	至
/o	視
jfiv	詞
jfic	詩
r;	試
3k	誌
jfty	諮
uo	資
jftu	賜
jfti	雌
jfix	飼
3i	歯
hb	事
jfiz	似
jfto	侍
rp	児
z/	字
qk	寺
jftp	慈
uz	持
mg	時
ef	次
8h	滋
;/	治
fjdj	爾
jfth	璽
fjdk	痔
jfot	磁
np	示
fjdl	而
no	耳
ix	自
fjd;	蒔
4.	辞
fjdn	汐
3j	鹿
uj	式
8c	識
fjdm	鴫
fjd,	竺
jftj	軸
fjd.	宍
fjd/	雫
ib	七
fjs6	叱
1l	執
t,	失
fjs7	嫉
fg	室
fjs8	悉
8j	湿
jftk	漆
jftl	疾
wk	質
;y	実
fjs9	蔀
fjs0	篠
fjsy	偲
fjsu	柴
tm	芝
fjsi	屡
fjso	蕊
fjsp	縞
y3	舎
gx	写
8y	射
jfor	捨
jft;	赦
jftn	斜
jftm	煮
kx	社
fjsh	紗
ir	者
jfoe	謝
hl	車
jft,	遮
jft.	蛇
jft/	邪
,1	借
jfry	勺
jfow	尺
fjsj	杓
fjsk	灼
jfru	爵
jfri	酌
g0	釈
fjsl	錫
qs	若
jfro	寂
3;	弱
fjs;	惹
h;	主
fs	取
ez	守
oe	手
1h	朱
jfrp	殊
jfrh	狩
jfrj	珠
aa	種
fjsn	腫
jfrk	趣
vt	酒
rq	首
jfrl	儒
af	受
fjsm	呪
w8	寿
mo	授
c6	樹
fjs,	綬
8u	需
jfr;	囚
qa	収
k2	周
4y	宗
z9	就
z,	州
w.	修
jfrn	愁
jfoq	拾
fjs.	洲
wi	秀
cp	秋
wh	終
fjs/	繍
rf	習
jfrm	臭
jfr,	舟
fja6	蒐
h5	衆
jfr.	襲
fja7	讐
fja8	蹴
8i	輯
xv	週
fja9	酋
jfr/	酬
ku	集
jfey	醜
fja0	什
ob	住
s8	充
od	十
ze	従
fjay	戎
jfeu	柔
jfei	汁
g;	渋
jfeo	獣
jfog	縦
,l	重
jfep	銃
jfeh	叔
fjau	夙
hu	宿
jfej	淑
jfof	祝
jfod	縮
jfek	粛
jfel	塾
ss	熟
ue	出
wg	術
4n	述
jfe;	俊
fjai	峻
ri	春
8o	瞬
fjao	竣
fjap	舜
fjah	駿
jfen	准
jfem	循
jfe,	旬
fjaj	楯
jfe.	殉
fjak	淳
v.	準
jfe/	潤
8p	盾
7f	純
jfwy	巡
jfwu	遵
fjal	醇
e8	順
l3	処
fz	初
oz	所
jfos	暑
fja;	曙
fjan	渚
y8	庶
jfwi	緒
jfoa	署
k;	書
fjam	薯
fja,	藷
v/	諸
dj	助
jfwo	叙
pt	女
ni	序
jfwp	徐
fja.	恕
fja/	鋤
;5	除
s7	傷
a6	償
,/	勝
jfwh	匠
jfwj	升
jfwk	召
fjb6	哨
km	商
1p	唱
fjb7	嘗
jfwl	奨
fjb8	妾
fjb9	娼
jfw;	宵
,u	将
lz	小
gg	少
y2	尚
fjb0	庄
jfwn	床
fjby	廠
jfwm	彰
1u	承
jfw,	抄
4k	招
jfw.	掌
fjbu	捷
fu	昇
fjbi	昌
jfob	昭
jfw/	晶
jfov	松
fjbo	梢
fjbp	樟
fjbh	樵
2.	沼
gn	消
c8	渉
fjbj	湘
7e	焼
jfqy	焦
bc	照
jfqu	症
xb	省
x6	硝
jfqi	礁
jfqo	祥
o8	称
2u	章
.5	笑
u8	粧
2l	紹
jfqp	肖
fjbk	菖
fjbl	蒋
fjb;	蕉
jfqh	衝
fjbn	裳
jfqj	訟
cz	証
jfqk	詔
ew	詳
p1	象
ts	賞
fjbm	醤
fjb,	鉦
fjb.	鍾
jfql	鐘
0a	障
fjb/	鞘
ht	上
i8	丈
fjv6	丞
c,	乗
jfq;	冗
jfqn	剰
jfoc	城
iv	場
jfqm	壌
jfq,	嬢
qj	常
de	情
fjv7	擾
tk	条
fjv8	杖
jfq.	浄
b,	状
jfq/	畳
fjv9	穣
p8	蒸
n3	譲
jfgy	醸
jfgu	錠
jfgi	嘱
fjv0	埴
w7	飾
fjvy	拭
5y	植
jfgo	殖
fjvu	燭
n2	織
ge	職
am	色
3y	触
.,	食
fjvi	蝕
jfgp	辱
fjvo	尻
bt	伸
.j	信
jfgh	侵
jfgj	唇
jfgk	娠
5o	寝
su	審
mn	心
jfgl	慎
mi	振
hv	新
fjvp	晋
jfox	森
fjvh	榛
jfg;	浸
t/	深
cj	申
fjvj	疹
ga	真
ho	神
fjvk	秦
jfgn	紳
jfoz	臣
fjvl	芯
jfgm	薪
vh	親
jfg,	診
n/	身
jfg.	辛
fa	進
xw	針
q9	震
ma	人
jfpt	仁
jfg/	刃
fjv;	塵
fjvn	壬
jffy	尋
8k	甚
jffu	尽
fjvm	腎
fjv,	訊
jffi	迅
1j	陣
fjv.	靭
fjv/	笥
fjc6	諏
.1	須
jffo	酢
zn	図
fjc7	厨
fjc8	逗
jffp	吹
7k	垂
jffh	帥
br	推
kh	水
jffk	炊
jffl	睡
7l	粋
fjc9	翠
7h	衰
jff;	遂
jffn	酔
fjc0	錐
jffm	錘
jff,	随
fjcy	瑞
jff.	髄
